Project,Client,Title,Duration
SOS1819-03,,#1 Configurar Workspace de Toggl,00:09:25
SOS1819-03,,#10 Desplegar el proyecto en  Heroku .,03:08:04
SOS1819-03,,#11 Instalación herramienta POSTMAN,00:28:23
SOS1819-03,,#12 Crear Milestone F02,00:03:17
SOS1819-03,,#13 Haber realizado una API REST que ofrezca todos los métodos del recurso con la fuente de datos (tal como se presento en el documento de diseño de la API presentado en el F02) con una funcionalidad similar a la presentada a la API desarrollada en el L06 pero adaptada a la fuente de datos.,03:55:34
SOS1819-03,,#14 Tener un conjunto de pruebas de postman de la API en una colección denominada SOS1819-XX-YYYYYY lista para ser lanzada:,03:29:24
SOS1819-03,,#15 Crear conjunto de pruebas POSTMAN,01:28:39
SOS1819-03,,#16 Despliegue de la api rest computers-attacks-stats,24:33:00
SOS1819-03,,#17 Feedback f04,02:23:38
SOS1819-03,,#18 Buscador,00:41:16
SOS1819-03,,#19 Entrega de Sos,25:13:42
SOS1819-03,,"#2 Crear milestone ""F01""",00:02:45
SOS1819-03,,#3 Gestión del  la hoja de trabajo en   Google Spreadsheets,00:00:50
SOS1819-03,,#4 Leer todas las noticias de Piazza,00:03:57
SOS1819-03,,#5 Crear index.html dentro de la carpeta public,02:26:56
SOS1819-03,,#6 Desplegar proyecto en Heroku.,00:02:12
SOS1819-03,,#6 Tener sincronizado SOS1819 en c9,00:07:22
SOS1819-03,,#7 Crear documento Google Docs,01:10:45
SOS1819-03,,#8 Completar ficha de trabajo,01:20:25
SOS1819-03,,#9 Tener al menos 3 horas dedicadas registradas.,02:20:22
SOS1819-03,,F08,03:49:41
SOS1819-03,,Gestion del trabajo ,00:42:45
,,#1 Gestión de la hija de trabajo en  Google Spreadsheets.,00:00:15
,,#1 Hacer Lab02,00:01:50
,,#6 Desplegar proyecto en Heroku.,00:00:04
,,SOS1819 - Backlog,00:00:02
,,SOS1819 -03- Relacion paises ataques empresas y riqueza .,00:11:31
,,,00:06:12
